Operation,Status,Exclusion Reason,Category,FP Instructions per Analytical FLOP,Relative to Add,Perf Weight (normalized),Timing Weight,Perf/Timing Ratio,Weight Tier,Zero FP,Alpha Min,Alpha Max,Alpha CV,Analytical Formula,Analytical FLOPs,Benchmark Code,Benchmark Size,Repeats,Perf Instructions (total),Timing Total (ns),Time per Analytical FLOP (ns),Baseline Alpha,Baseline Command,Baseline Perf Instructions,Baseline Timing (ns),Implementation URL,Notes
arccosh,benchmarked,,Pointwise Unary,83.1009,37.77x,53.1311,3.2702,16.2470,heavy,FALSE,82.6100,83.1237,0.0035,numel(output),10000000,"np.arccosh(x, out=_out)",n=10000000,5,"[4156187312, 4130501620, 4155044763]",260165816.0,5.2033,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L269,Element-wise inverse hyperbolic cosine.
arcsinh,benchmarked,,Pointwise Unary,79.6001,36.18x,50.8929,1.4167,35.9236,heavy,FALSE,79.2823,79.6001,0.0023,numel(output),10000000,"np.arcsinh(x, out=_out)",n=10000000,5,"[3964112714, 3980005622, 3980005600]",112704882.0,2.2541,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L271,Element-wise inverse hyperbolic sine.
arctanh,benchmarked,,Pointwise Unary,72.5902,32.99x,46.4110,2.3226,19.9823,heavy,FALSE,71.5993,72.5991,0.0080,numel(output),10000000,"np.arctanh(x, out=_out)",n=10000000,5,"[3579964532, 3629509830, 3629955503]",184775525.0,3.6955,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L273,Element-wise inverse hyperbolic tangent.
tan,benchmarked,,Pointwise Unary,60.6001,27.54x,38.7451,0.9577,40.4564,heavy,FALSE,60.2823,60.6001,0.0030,numel(output),10000000,"np.tan(x, out=_out)",n=10000000,5,"[3014112714, 3030005622, 3030005600]",76187353.0,1.5237,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L368,Element-wise tangent.
arcsin,benchmarked,,Pointwise Unary,56.5902,25.72x,36.1813,5.4262,6.6679,heavy,FALSE,55.5993,56.5991,0.0102,numel(output),10000000,"np.arcsin(x, out=_out)",n=10000000,5,"[2779964532, 2829509830, 2829955503]",431686147.0,8.6337,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L270,Element-wise inverse sine.
arccos,benchmarked,,Pointwise Unary,53.5902,24.36x,34.2633,5.7647,5.9436,heavy,FALSE,52.5993,53.5991,0.0108,numel(output),10000000,"np.arccos(x, out=_out)",n=10000000,5,"[2629964532, 2679509830, 2679955503]",458617737.0,9.1724,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L268,Element-wise inverse cosine.
arctan,benchmarked,,Pointwise Unary,47.6001,21.63x,30.4335,0.9012,33.7700,heavy,FALSE,47.2823,47.6001,0.0039,numel(output),10000000,"np.arctan(x, out=_out)",n=10000000,5,"[2364112714, 2380005622, 2380005600]",71694100.0,1.4339,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L272,Element-wise inverse tangent.
expm1,benchmarked,,Pointwise Unary,41.6001,18.91x,26.5973,0.9027,29.4642,heavy,FALSE,41.2823,41.7681,0.0059,numel(output),10000000,"np.expm1(x, out=_out)",n=10000000,5,"[2064112714, 2080005622, 2088406033]",71818716.0,1.4364,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L314,Element-wise e^x - 1 (accurate near zero).
log1p,benchmarked,,Pointwise Unary,41.6001,18.91x,26.5973,3.2539,8.1740,heavy,FALSE,41.5993,42.5997,0.0138,numel(output),10000000,"np.log1p(x, out=_out)",n=10000000,5,"[2079965237, 2080005622, 2129983423]",258868719.0,5.1774,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L327,Element-wise log(1+x) (accurate near zero).
cos,benchmarked,,Pointwise Unary,40.5074,18.41x,25.8987,11.2160,2.3091,heavy,FALSE,24.2883,40.8412,0.2687,numel(output),10000000,"np.cos(x, out=_out)",n=10000000,5,"[1214416424, 2025369682, 2042059600]",892298002.0,17.8460,1.5641,"np.add(x, y, out=_out)",78203574.0,79555837.0,https://github.com/AIcrowd/mechestim/blob/main/src/mechestim/_pointwise.py#L254,Element-wise cosine.
